id,pred
1723,0.86470735
12736,1.21915865
12274,0.79274052
8823,1.00100851
5087,0.86132908
13178,0.94787318
11799,0.85111868
13425,0.94401151
12497,0.96122408
1185,0.70693862
3584,1.13355601
5851,0.89589185
14311,0.88675737
7836,0.96810609
2321,0.84220093
547,1.07681358
9095,0.94202644
4614,1.02417159
12698,1.05625796
2674,0.89283335
6814,1.02492797
4611,1.13837290
4334,0.95340794
9101,0.90770471
6585,0.66482872
12156,0.78369874
1183,1.08874106
2428,0.84751385
11600,1.11754906
3162,1.03990293
13798,0.87365222
1783,1.08149302
13683,1.20897686
14347,1.10090339
14472,1.02571416
8589,1.44014943
10411,1.06910801
7942,0.74487787
13715,0.70109135
8838,1.09348524
9644,0.99489301
8093,0.97310895
1734,0.75601161
10725,1.04360712
4556,0.80424047
1380,0.87541103
2722,1.02566254
4072,1.05495787
11293,0.83662176
12003,1.07238805
13564,0.74309683
8294,1.06559074
3393,0.88021368
8051,1.23103416
699,1.05848968
4557,1.01768351
8091,1.00434911
9704,0.79882294
11650,0.89981598
305,0.97322720
8300,0.97683126
13525,0.82126755
10166,0.94407099
11107,0.92795384
9971,0.89249760
7732,0.83505386
13466,0.77481139
3406,1.04035592
5338,0.87275094
6835,1.24786854
14359,0.89429832
4837,1.17698169
4741,1.02498353
5651,1.05854559
8779,0.96529406
5055,1.00130463
4744,0.86809164
1804,0.68232846
3992,1.16013885
14111,0.91117942
12047,0.80206090
1156,1.04666030
1920,0.82186437
9307,0.81812197
5881,1.15742362
12531,0.96466297
5878,0.85391384
10742,1.13927412
7625,0.84552354
30,0.95808333
4879,0.96056056
356,0.82285523
9781,1.14342988
1457,1.01458275
2876,0.82504666
1626,1.20176208
4929,1.15444696
848,1.05244553
2300,0.84846646
11987,0.93604314
3427,0.81720769
13492,0.78883958
14170,0.78660733
1960,0.84666204
8013,0.79709715
12019,0.98213583
7896,1.08524895
7371,0.94860715
6780,0.96246535
9855,0.90804219
11685,0.90483779
2290,0.86102968
473,1.21035922
4422,1.04788065
10966,1.02465403
705,0.86859322
12994,0.87432164
2448,1.04704094
2662,0.92310125
6143,1.11842275
14075,1.08607137
214,0.95498419
4150,0.69244277
6850,0.76564980
14868,0.95152187
3263,0.92321640
10879,1.05137658
9588,1.13120353
15043,0.72373080
11065,0.91923839
11939,0.88940811
8976,0.76669359
6560,0.92663562
6526,0.86525565
9402,0.93230844
9368,0.77717656
40,0.95808017
11862,1.14011359
3421,0.90089917
9105,1.00815439
4075,1.14024889
526,1.10328209
9020,0.96053690
8239,1.04269123
11469,0.88418984
12610,0.82542175
8282,0.92993301
11701,0.76687843
10560,0.82324570
6012,0.80204862
9174,1.09772277
4019,0.91189080
67,0.79234201
8520,1.26390624
10415,1.28149402
8775,1.07993579
10356,0.90330160
4560,0.71741372
6759,0.94696432
13246,0.80693400
7890,0.77461010
2498,1.07758951
556,1.21553338
9349,0.85692936
13987,1.06952906
7007,0.80973005
6736,1.02086282
4365,1.02102697
3411,0.94199419
1776,1.31658030
12418,1.14670694
14894,1.19453621
4286,1.16533673
1412,0.92716002
3901,0.94813949
8854,0.79494876
4721,0.89748383
709,1.10828054
609,0.91906869
7102,0.64234346
6277,0.86211020
12279,0.99776387
11020,0.97296357
2966,1.14803600
583,1.04597032
9420,1.00513232
1260,0.86838895
7477,1.15125406
3226,1.13167548
10865,1.04548013
10397,1.14749849
4378,1.00211883
13267,1.33006895
2073,0.96697271
14594,0.92582768
9114,1.23937964
8383,0.97775561
4272,0.95909733
6432,0.91398138
10156,1.01813340
8474,1.09492254
3286,0.84356952
12069,0.94097632
7713,0.79723203
12725,1.15745068
5581,0.98571676
4737,0.89902890
7921,0.85678154
10417,1.20417881
4805,0.97881585
7659,1.15559566
672,0.90132558
1340,1.19768679
14931,0.81838435
9191,1.08102751
6280,0.94004351
1748,0.89162552
7932,0.72012877
7627,1.02267718
8421,1.19868469
4496,0.99563652
659,0.84697133
13154,0.89210671
6590,1.09458458
2056,0.85727036
9689,0.80435175
12759,1.25639069
