id,pred
1723,0.89284724
12736,0.93924719
12274,0.91048342
8823,0.94770312
5087,0.85418940
13178,0.81052792
11799,1.00005865
13425,0.94879228
12497,0.93450803
1185,0.86217445
3584,0.93107593
5851,0.87760353
14311,0.84165329
7836,0.93337941
2321,0.96327454
547,1.04541326
9095,0.86525810
4614,0.87463355
12698,1.06625378
2674,0.90397948
6814,0.90917951
4611,1.08997440
4334,1.08056581
9101,0.95635933
6585,0.82464665
12156,0.87898451
1183,0.95435256
2428,0.89389992
11600,0.98323417
3162,0.98808616
13798,0.88988125
1783,0.86930901
13683,0.88364434
14347,0.96118104
14472,1.02578402
8589,1.01234531
10411,1.03561842
7942,0.81699449
13715,0.95381790
8838,1.01951373
9644,1.04327679
8093,0.86949575
1734,0.87096274
10725,0.88193399
4556,0.97681350
1380,0.89827287
2722,1.00716925
4072,1.01320231
11293,0.90699130
12003,0.95989966
13564,0.88817829
8294,0.98275787
3393,0.85884583
8051,1.06499135
699,1.05104756
4557,1.00951719
8091,0.91534513
9704,0.87821639
11650,0.89998180
305,0.95927382
8300,0.85146421
13525,0.89249974
10166,0.91157049
11107,0.86663097
9971,1.00309229
7732,0.90332264
13466,0.91196293
3406,0.86435419
5338,0.87662101
6835,1.00177908
14359,0.86574912
4837,0.93553805
4741,0.89489532
5651,0.89204675
8779,1.00580537
5055,0.87622511
4744,0.99119014
1804,0.95701951
3992,1.10020733
14111,1.09581125
12047,0.88643718
1156,0.90243316
1920,0.90736538
9307,1.00427020
5881,0.98863918
12531,1.00395787
5878,0.81231982
10742,1.02286458
7625,0.90770119
30,0.91669321
4879,1.04327345
356,1.00157607
9781,0.97669965
1457,0.85077477
2876,0.96193749
1626,1.05877340
4929,1.04788339
848,0.92178351
2300,0.85427946
11987,0.86811692
3427,0.92137784
13492,0.94463998
14170,0.91472024
1960,0.96155769
8013,0.98599398
12019,0.97812825
7896,0.88017893
7371,0.88539642
6780,0.99197900
9855,0.87767136
11685,0.94576824
2290,1.15094376
473,0.87941533
4422,1.03013301
10966,0.95659363
705,0.84387839
12994,0.87243181
2448,0.92657810
2662,0.97963327
6143,0.93796039
14075,0.92720240
214,0.83282065
4150,0.90465564
6850,0.87900138
14868,1.03563941
3263,0.92600757
10879,1.03209698
9588,1.06626964
15043,0.82182884
11065,1.06138158
11939,0.88138229
8976,0.99340379
6560,0.96955246
6526,0.94017881
9402,0.93773413
9368,0.86659974
40,0.87611312
11862,0.94163609
3421,1.04282165
9105,1.05411565
4075,1.03376758
526,0.91892880
9020,1.05673015
8239,0.83270806
11469,1.00234854
12610,0.84136558
8282,0.91501665
11701,0.97120440
10560,0.89864981
6012,0.87272644
9174,0.89995784
4019,0.93995249
67,0.86183351
8520,0.95352483
10415,1.08764207
8775,0.89452094
10356,0.92622638
4560,0.82560593
6759,0.84879142
13246,0.85554677
7890,0.89405775
2498,0.95513487
556,1.01166701
9349,0.93126929
13987,0.87761700
7007,0.87649882
6736,0.86331517
4365,0.96986955
3411,0.88525891
1776,0.93090034
12418,0.97779363
14894,0.98170954
4286,0.99826241
1412,0.88735628
3901,0.94957310
8854,0.83652133
4721,0.87770778
709,0.98284775
609,0.88149321
7102,0.90760136
6277,0.86086673
12279,0.86911911
11020,1.03180003
2966,1.02864420
583,0.95075846
9420,1.05520201
1260,0.89336896
7477,1.01380146
3226,0.93281740
10865,0.96562570
10397,0.97252524
4378,1.02376008
13267,1.05631125
2073,0.97219461
14594,1.02040684
9114,0.91678041
8383,0.99840379
4272,0.83701062
6432,0.94577628
10156,0.95437461
8474,1.00771165
3286,0.91760641
12069,0.83759058
7713,1.01963329
12725,0.87008792
5581,0.92725903
4737,0.97068983
7921,0.90895945
10417,1.05214083
4805,0.93588042
7659,1.00955963
672,0.99928087
1340,1.01247025
14931,0.83976275
9191,1.03792286
6280,0.88826299
1748,0.89121300
7932,0.84713727
7627,0.96097094
8421,0.96025723
4496,0.96439385
659,0.90347391
13154,0.84594733
6590,1.10488105
2056,0.91578370
9689,0.98027259
12759,0.91730320
3234,0.88074905
5558,0.98533148
2355,0.89403003
5426,0.87880695
15070,0.91659248
12540,0.92802685
858,0.95330685
10165,0.83992088
13980,0.95813400
5268,1.00584197
9996,0.93403298
11530,1.06508160
2653,0.91151428
10547,1.06758642
4368,0.94570780
10632,0.89662862
8374,0.99975306
9777,0.94473183
5441,0.86925381
3111,1.06312251
11364,0.90429884
7777,0.86726236
3836,0.86458951
4950,1.05449569
15079,0.84475285
9011,0.91076279
6623,1.04933584
12508,1.02505314
9771,0.87125832
7143,0.97971213
8501,0.97267359
10572,0.93401432
14627,0.87626147
6394,0.92414600
12649,0.88781047
9449,1.09749818
13350,0.94786930
8510,0.90658152
11991,1.05274773
13513,0.95153904
5703,1.04176736
12311,0.85198057
10322,0.99495876
13927,0.87942427
3532,0.93965477
7935,0.96398640
8990,0.89541906
14632,0.86784357
7199,0.91127908
149,0.93838894
61,0.85908723
1815,0.90630001
3951,0.98554403
10828,0.96078581
1914,1.00770843
10298,0.89631385
12376,0.95282018
5244,0.96983004
13903,0.93712580
10138,0.89601672
713,1.10503840
6774,1.05596423
11532,0.84609562
2987,0.82860190
10867,0.92071486
3311,0.93511671
12897,0.93276024
3855,0.96255225
1747,0.88873380
7265,0.88843727
4894,0.87725955
4978,1.05209005
4384,1.01058149
14780,0.89460671
3355,0.88094538
8497,0.83860695
10557,0.88457352
2184,0.96461064
8129,0.89232630
9082,0.95090336
4323,0.88029206
749,0.93346310
6602,0.90418869
3030,0.86881036
10746,0.85121977
6303,0.87988800
3615,1.00178099
2255,0.99829113
6088,0.94023770
6825,0.86986315
9908,0.87510341
3115,0.90036476
11702,1.03116715
2983,1.07613027
4743,0.86641425
9880,0.95586747
1207,1.07453847
10232,0.83550024
10058,0.96425283
11282,0.92187649
471,0.91015458
11053,1.00889552
14020,0.94053721
11986,0.87414861
2199,0.94036090
4310,1.03527272
2493,0.86907476
12194,0.93722475
10317,0.88472128
1824,0.85347283
3248,0.82333416
4802,0.81749946
3930,1.04664111
14362,0.84695965
6115,0.83177346
8336,0.86529994
14182,0.84178180
8676,1.05662000
2077,0.87403423
12456,1.09015000
12613,1.02671695
8736,0.90122569
10575,0.91950506
10236,0.97845215
2348,0.92685652
13954,0.86769795
3003,0.92958647
13215,0.92062670
12426,1.06851172
761,0.84592783
12308,0.89365906
4349,0.89844429
13045,0.88061988
14691,0.92037690
4469,0.98540288
10983,1.05254567
9656,0.92196137
2324,0.90950269
7237,0.86930966
11257,0.87597448
7559,1.01886332
3035,0.95693046
14741,0.97795433
10362,0.90356714
1976,0.87967187
8115,0.88985926
3995,0.90351158
2641,0.86813569
5503,0.89458197
5080,0.88575709
10181,0.90866226
4228,0.85268277
4938,0.87593311
2882,0.93273365
6499,0.92333752
5603,0.96926111
9571,0.93985915
5783,0.88746339
2277,0.91061163
12659,1.05130219
6437,1.06243134
2166,0.98628527
1126,0.92517120
3566,0.85603797
10437,0.85148698
12429,0.99078655
735,0.92478335
1007,0.98161769
13770,0.95515120
6888,1.03792071
7892,0.86238259
2043,1.04483306
8494,0.87471837
5464,0.93426216
7326,0.91676670
10622,0.85186523
8538,1.06541348
14520,0.91138917
8065,0.89157152
2471,0.96197373
14567,0.92658103
1072,0.86534286
